ID,title,authors
seswm2018_paper_1,Inner Source in Platform-Based Product Engineering,Dirk Riehle, Maximilian Capraro, Detlef Kips and Lars Horn
seswm2018_paper_2,Empirical Evaluation of a domain-specific language for high-performance marine ecosystem simulation,Arne Johanson and Wilhelm Hasselbring
seswm2018_paper_3,Searching for Common Ground: Existing Literature on Automotive Agile Software Product Lines,Philipp Hohl, Javad Ghofrani, Juergen Muench, Michael Stupperich and Kurt Schneider
seswm2018_paper_4,A systematic approach to constructing families of incremental topology control algorithms using graph transformation,Roland Kluge, Michael Stein, Gergely Varró, Andy Schürr, Matthias Hollick and Max Mühlhäuser
seswm2018_paper_5,CodeMatch: Obfuscation Won’t Conceal Your Repackaged App,Leonid Glanz, Sven Amann, Michael Eichberg, Michael Reif and Mira Mezini
seswm2018_paper_6,Predictive Business Process Monitoring unter Berücksichtigung von Prognoseverlässlichkeit und Risiko,Andreas Metzger and Philipp Bohn
seswm2018_paper_7,Modeling and Verification of Evolving Cyber-Physical Spaces,Christos Tsigkanos, Timo Kehrer and Carlo Ghezzi
seswm2018_paper_8,Hazard Relation Diagrams: a diagrammatic representation to increase validation objectivity of requirements-based hazard mitigations,Bastian Tenbergen, Thorsten Weyer and Klaus Pohl
seswm2018_paper_9,Using Architecture Knowledge to Improve Automated Software Architecture Design Space Exploration,Axel Busch and Anne Koziolek
seswm2018_paper_10,Automated Analysis of the Co-evolution of Software Systems and Business Processes,Kiana Busch, Robert Heinrich, Axel Busch and Ralf Reussner
seswm2018_paper_11,Optimized Cloud Deployment of Multi-tenant Software Considering Data Protection Concerns - Abridged Version,Zoltan Mann and Andreas Metzger
seswm2018_paper_13,Call Graph Construction for Java Libraries,Michael Reif, Michael Eichberg and Mira Mezini
seswm2018_paper_16,Modularity and architecture of PLC-based software for automated production Systems: An analysis in industrial companies,Birgit Vogel-Heuser, Juliane Fischer, Stefan Feldmann, Sebastian Ulewicz, Susanne Rösch and Safa Bougouffa
seswm2018_paper_18,Is There a Mismatch between Real-world Feature Models and Product-line Research?,Alexander Knüppel, Thomas Thüm, Stephan Mennicke, Jens Meinicke and Ina Schaefer
seswm2018_paper_20,Component and Connector Views in Practice: An Experience Report,Vincent Bertram, Shahar Maoz, Jan Oliver Ringert, Bernhard Rumpe and Michael von Wenckstern
seswm2018_paper_22,On Continuous Detection of Design Flaws in Evolving Object-Oriented Programs using Incremental Multi-Pattern Matching,Sven Peldszus, Géza Kulcsár, Malte Lochau and Sandro Schulze
seswm2018_paper_23,Reinforcement Learning for Automatic Test Case Prioritization and Selection in Continuous Integration,Helge Spieker, Arnaud Gotlieb, Dusica Marijan and Morten Mossige
seswm2018_paper_24,Observations on Knowledge Transfer of Professional Software Developers during Pair Programming,Franz Zieris and Lutz Prechelt
seswm2018_paper_25,Quality Experience: A Grounded Theory of Successful Agile Projects Without Dedicated Testers,Lutz Prechelt, Holger Schmeisky and Franz Zieris
seswm2018_paper_26,Code Defenders: Crowdsourcing Effective Tests and Subtle Mutants with a Mutation Testing Game,José Miguel Rojas, Thomas White, Benjamin Clegg and Gordon Fraser
